time,estimated_returnee
2022-03-24,2098
2022-03-25,2270
2022-03-26,2270
2022-03-27,2270
2022-03-28,2342
2022-03-29,2331
2022-03-30,2550
2022-03-31,2729
2022-04-01,2619
2022-04-02,2619
2022-04-03,2619
2022-04-04,2528
2022-04-05,2743
2022-04-06,2432
2022-04-07,2717
2022-04-08,2718
2022-04-09,2718
2022-04-10,2718
2022-04-11,2926
2022-04-12,3022
2022-04-13,2875
2022-04-14,3120
2022-04-15,3093
2022-04-16,3093
2022-04-17,3093
2022-04-18,2819
2022-04-19,3480
2022-04-20,3325
2022-04-21,2476
2022-04-22,2475
2022-04-23,2475
2022-04-24,2475
2022-04-25,2475
2022-04-26,2485
2022-04-27,3104
2022-04-28,3415
2022-04-29,3523
2022-04-30,3523
2022-05-01,3522
2022-05-02,3054
2022-05-03,3069
2022-05-04,2991
2022-05-05,3051
2022-05-06,3114
2022-05-07,2963
2022-05-08,3280
2022-05-09,3127
2022-05-10,3216
2022-05-11,3220
2022-05-12,3167
2022-05-13,3022
2022-05-14,3091
2022-05-15,2928
2022-05-16,3115
2022-05-17,3089
2022-05-18,3180
2022-05-19,3033
2022-05-20,3022
2022-05-21,3091
2022-05-22,2928
2022-05-23,3115
2022-05-24,3092
2022-05-25,3234
2022-05-26,3018
2022-05-27,3073
2022-05-28,3120
2022-05-29,3094
2022-05-30,2950
2022-05-31,2977
2022-06-01,2923
2022-06-02,2861
2022-06-03,2927
2022-06-04,3059
2022-06-05,2976
2022-06-06,3016
2022-06-07,2826
2022-06-08,2801
2022-06-09,2833
2022-06-10,2864
2022-06-11,2766
2022-06-12,2693
2022-06-13,2589
2022-06-14,2527
2022-06-15,2587
2022-06-16,2636
2022-06-17,2513
2022-06-18,2450
2022-06-19,2466
2022-06-20,2413
2022-06-21,2329
2022-06-22,2356
2022-06-23,2301
2022-06-24,2248
2022-06-25,2202
2022-06-26,2246
2022-06-27,2288
2022-06-28,2263
2022-06-29,2215
2022-06-30,2190
2022-07-01,2178
2022-07-02,2151
2022-07-03,2138
2022-07-04,2125
2022-07-05,2102
2022-07-06,2089
2022-07-07,2076
2022-07-08,2061
2022-07-09,2050
2022-07-10,2041
2022-07-11,2028
2022-07-12,2016
2022-07-13,2004
2022-07-14,1993
2022-07-15,1982
2022-07-16,1970
2022-07-17,1959
2022-07-18,1947
2022-07-19,1936
2022-07-20,1924
2022-07-21,1913
2022-07-22,1902
2022-07-23,1891
2022-07-24,1880
2022-07-25,1869
2022-07-26,1858
2022-07-27,1847
2022-07-28,1836
2022-07-29,1825
2022-07-30,1815
2022-07-31,1805
2022-08-01,1795
