time,estimated_returnee
2022-03-24,1540
2022-03-25,1585
2022-03-26,1658
2022-03-27,1709
2022-03-28,1762
2022-03-29,1856
2022-03-30,1888
2022-03-31,1968
2022-04-01,2024
2022-04-02,2125
2022-04-03,2191
2022-04-04,2275
2022-04-05,2400
2022-04-06,2580
2022-04-07,2750
2022-04-08,2900
2022-04-09,3050
2022-04-10,3150
2022-04-11,3000
2022-04-12,2800
2022-04-13,2600
2022-04-14,2400
2022-04-15,2200
2022-04-16,2000
2022-04-17,1800
2022-04-18,1600
2022-04-19,1500
2022-04-20,1450
2022-04-21,1400
2022-04-22,1350
2022-04-23,1300
2022-04-24,1250
2022-04-25,1200
2022-04-26,1150
2022-04-27,1100
2022-04-28,1050
2022-04-29,1000
2022-04-30,950
2022-05-01,900
2022-05-02,2650
2022-05-03,2650
2022-05-04,2650
2022-05-05,2650
2022-05-06,2650
2022-05-07,2650
2022-05-08,2650
2022-05-09,2650
2022-05-10,2650
2022-05-11,2650
2022-05-12,2650
2022-05-13,2650
2022-05-14,2650
2022-05-15,2650
2022-05-16,2650
2022-05-17,2650
2022-05-18,2650
2022-05-19,2650
2022-05-20,2650
2022-05-21,2650
2022-05-22,2650
2022-05-23,2650
2022-05-24,2650
2022-05-25,2650
2022-05-26,2650
2022-05-27,2650
2022-05-28,2650
2022-05-29,2650
2022-05-30,2650
2022-05-31,2650
2022-06-01,2650
2022-06-02,2650
2022-06-03,2650
2022-06-04,2650
2022-06-05,2650
2022-06-06,2650
2022-06-07,2650
2022-06-08,2650
2022-06-09,2650
2022-06-10,2650
2022-06-11,2650
2022-06-12,2650
2022-06-13,2650
2022-06-14,2650
2022-06-15,2650
2022-06-16,2650
2022-06-17,2650
2022-06-18,2650
2022-06-19,2650
2022-06-20,2650
2022-06-21,2650
2022-06-22,2650
2022-06-23,2650
2022-06-24,2650
2022-06-25,2650
2022-06-26,2650
2022-06-27,2650
2022-06-28,2650
2022-06-29,2650
2022-06-30,2650
2022-07-01,2630
2022-07-02,2610
2022-07-03,2590
2022-07-04,2570
2022-07-05,2550
2022-07-06,2530
2022-07-07,2510
2022-07-08,2490
2022-07-09,2470
2022-07-10,2450
2022-07-11,2430
2022-07-12,2410
2022-07-13,2390
2022-07-14,2370
2022-07-15,2350
2022-07-16,2330
2022-07-17,2310
2022-07-18,2290
2022-07-19,2270
2022-07-20,2250
2022-07-21,2230
2022-07-22,2210
2022-07-23,2190
2022-07-24,2170
2022-07-25,2150
2022-07-26,2130
2022-07-27,2110
2022-07-28,2090
2022-07-29,2070
2022-07-30,2050
2022-07-31,2030
2022-08-01,2010
