time,estimated_returnee
2022-03-24,1664
2022-03-25,1709
2022-03-26,1846
2022-03-27,2238
2022-03-28,1992
2022-03-29,1601
2022-03-30,1437
2022-03-31,1592
2022-04-01,1674
2022-04-02,2092
2022-04-03,2404
2022-04-04,2409
2022-04-05,1825
2022-04-06,2060
2022-04-07,2468
2022-04-08,2839
2022-04-09,3388
2022-04-10,3313
2022-04-11,2180
2022-04-12,1681
2022-04-13,2326
2022-04-14,2871
2022-04-15,3262
2022-04-16,3525
2022-04-17,2577
2022-04-18,1018
2022-04-19,1498
2022-04-20,2136
2022-04-21,2616
2022-04-22,3006
2022-04-23,3219
2022-04-24,3823
2022-04-25,2991
2022-04-26,2552
2022-04-27,1515
2022-04-28,1888
2022-04-29,2466
2022-04-30,2800
2022-05-01,2991
2022-05-02,3584
2022-05-03,2836
2022-05-04,2406
2022-05-05,1346
2022-05-06,1729
2022-05-07,2315
2022-05-08,2623
2022-05-09,2946
2022-05-10,3389
2022-05-11,3326
2022-05-12,2772
2022-05-13,2486
2022-05-14,2781
2022-05-15,3134
2022-05-16,3290
2022-05-17,3450
2022-05-18,3484
2022-05-19,3604
2022-05-20,3394
2022-05-21,3215
2022-05-22,2977
2022-05-23,2816
2022-05-24,3097
2022-05-25,3073
2022-05-26,3132
2022-05-27,3192
2022-05-28,3270
2022-05-29,3320
2022-05-30,3077
2022-05-31,3089
2022-06-01,3110
2022-06-02,3183
2022-06-03,3217
2022-06-04,3008
2022-06-05,2971
2022-06-06,2707
2022-06-07,3108
2022-06-08,3037
2022-06-09,3020
2022-06-10,2981
2022-06-11,2911
2022-06-12,2795
2022-06-13,2862
2022-06-14,2970
2022-06-15,3013
2022-06-16,2860
2022-06-17,2872
2022-06-18,2886
2022-06-19,2895
2022-06-20,2801
2022-06-21,2826
2022-06-22,2821
2022-06-23,2814
2022-06-24,2821
2022-06-25,2823
2022-06-26,2818
2022-06-27,2769
2022-06-28,2805
2022-06-29,2807
2022-06-30,2808
2022-07-01,2780
2022-07-02,2796
2022-07-03,2798
2022-07-04,2795
2022-07-05,2788
2022-07-06,2786
2022-07-07,2784
2022-07-08,2783
2022-07-09,2774
2022-07-10,2778
2022-07-11,2767
2022-07-12,2771
2022-07-13,2750
2022-07-14,2748
2022-07-15,2762
2022-07-16,2758
2022-07-17,2743
2022-07-18,2746
2022-07-19,2732
2022-07-20,2736
2022-07-21,2724
2022-07-22,2724
2022-07-23,2721
2022-07-24,2707
2022-07-25,2715
2022-07-26,2705
2022-07-27,2707
2022-07-28,2697
2022-07-29,2698
2022-07-30,2686
2022-07-31,2689
2022-08-01,2673
