time,estimated_returnee
2022-03-24,1874
2022-03-25,2094
2022-03-26,2068
2022-03-27,1753
2022-03-28,2113
2022-03-29,2198
2022-03-30,2284
2022-03-31,2373
2022-04-01,2463
2022-04-02,1855
2022-04-03,1943
2022-04-04,2643
2022-04-05,2745
2022-04-06,2850
2022-04-07,2958
2022-04-08,3069
2022-04-09,2318
2022-04-10,2427
2022-04-11,3303
2022-04-12,3430
2022-04-13,3560
2022-04-14,3694
2022-04-15,3832
2022-04-16,2891
2022-04-17,3030
2022-04-18,4123
2022-04-19,4278
2022-04-20,4437
2022-04-21,4601
2022-04-22,4770
2022-04-23,3600
2022-04-24,3773
2022-04-25,4483
2022-04-26,4617
2022-04-27,4754
2022-04-28,4894
2022-04-29,4532
2022-04-30,3605
2022-05-01,3778
2022-05-02,4772
2022-05-03,4912
2022-05-04,4575
2022-05-05,4720
2022-05-06,4867
2022-05-07,3669
2022-05-08,3845
2022-05-09,4346
2022-05-10,4481
2022-05-11,4617
2022-05-12,4755
2022-05-13,4895
2022-05-14,3689
2022-05-15,3866
2022-05-16,4566
2022-05-17,4707
2022-05-18,4850
2022-05-19,4416
2022-05-20,4553
2022-05-21,3432
2022-05-22,3599
2022-05-23,4760
2022-05-24,4906
2022-05-25,4532
2022-05-26,4673
2022-05-27,4817
2022-05-28,3633
2022-05-29,3806
2022-05-30,4993
2022-05-31,4618
2022-06-01,4760
2022-06-02,4905
2022-06-03,4534
2022-06-04,3419
2022-06-05,3584
2022-06-06,4749
2022-06-07,4895
2022-06-08,4524
2022-06-09,4667
2022-06-10,4812
2022-06-11,3628
2022-06-12,3802
2022-06-13,4992
2022-06-14,4615
2022-06-15,4758
2022-06-16,4904
2022-06-17,4533
2022-06-18,3419
2022-06-19,3585
2022-06-20,4749
2022-06-21,4895
2022-06-22,4524
2022-06-23,4667
2022-06-24,4813
2022-06-25,3629
2022-06-26,3803
2022-06-27,4539
2022-06-28,4679
2022-06-29,4821
2022-06-30,4485
2022-07-01,4622
2022-07-02,3484
2022-07-03,3652
2022-07-04,4308
2022-07-05,4440
2022-07-06,4575
2022-07-07,4712
2022-07-08,4368
2022-07-09,3294
2022-07-10,3452
2022-07-11,4099
2022-07-12,3795
2022-07-13,3912
2022-07-14,4031
2022-07-15,4152
2022-07-16,3131
2022-07-17,3282
2022-07-18,3897
2022-07-19,4015
2022-07-20,4136
2022-07-21,3835
2022-07-22,3951
2022-07-23,2980
2022-07-24,3122
2022-07-25,3266
2022-07-26,3413
2022-07-27,3562
2022-07-28,3714
2022-07-29,3327
2022-07-30,2510
2022-07-31,2630
2022-08-01,3123
