time,estimated_returnee
2022-03-24,2872
2022-03-25,2390
2022-03-26,2382
2022-03-27,2490
2022-03-28,1899
2022-03-29,2697
2022-03-30,2337
2022-03-31,2588
2022-04-01,2367
2022-04-02,1944
2022-04-03,1368
2022-04-04,2043
2022-04-05,1993
2022-04-06,2636
2022-04-07,2959
2022-04-08,2154
2022-04-09,2074
2022-04-10,1876
2022-04-11,1618
2022-04-12,1146
2022-04-13,1930
2022-04-14,1947
2022-04-15,2603
2022-04-16,1320
2022-04-17,2758
2022-04-18,1341
2022-04-19,988
2022-04-20,1888
2022-04-21,1856
2022-04-22,2315
2022-04-23,1177
2022-04-24,3036
2022-04-25,1893
2022-04-26,2151
2022-04-27,2649
2022-04-28,2530
2022-04-29,1827
2022-04-30,1793
2022-05-01,2187
2022-05-02,2842
2022-05-03,1729
2022-05-04,2378
2022-05-05,1485
2022-05-06,1548
2022-05-07,1899
2022-05-08,2097
2022-05-09,1496
2022-05-10,2074
2022-05-11,1640
2022-05-12,2404
2022-05-13,1761
2022-05-14,1716
2022-05-15,2244
2022-05-16,1891
2022-05-17,2167
2022-05-18,1205
2022-05-19,1928
2022-05-20,1952
2022-05-21,1883
2022-05-22,2351
2022-05-23,1290
2022-05-24,1882
2022-05-25,1162
2022-05-26,1111
2022-05-27,1319
2022-05-28,1269
2022-05-29,1198
2022-05-30,1604
2022-05-31,1763
2022-06-01,1228
2022-06-02,1699
2022-06-03,1040
2022-06-04,1018
2022-06-05,1152
2022-06-06,1109
2022-06-07,1081
2022-06-08,1361
2022-06-09,1495
2022-06-10,1109
2022-06-11,1459
2022-06-12,1167
2022-06-13,1729
2022-06-14,1303
2022-06-15,1548
2022-06-16,1121
2022-06-17,1374
2022-06-18,664
2022-06-19,1007
2022-06-20,1024
2022-06-21,1003
2022-06-22,1266
2022-06-23,682
2022-06-24,986
2022-06-25,1076
2022-06-26,3218
2022-06-27,1489
2022-06-28,851
2022-06-29,733
2022-06-30,971
2022-07-01,863
2022-07-02,933
2022-07-03,1224
2022-07-04,772
2022-07-05,862
2022-07-06,1319
2022-07-07,1166
2022-07-08,1041
2022-07-09,1083
2022-07-10,1279
2022-07-11,639
2022-07-12,1129
2022-07-13,1198
2022-07-14,1162
2022-07-15,734
2022-07-16,785
2022-07-17,1642
2022-07-18,1599
2022-07-19,919
2022-07-20,496
2022-07-21,1290
2022-07-22,572
2022-07-23,1358
2022-07-24,913
2022-07-25,719
2022-07-26,687
2022-07-27,1271
2022-07-28,1191
2022-07-29,1551
2022-07-30,2772
2022-07-31,1851
2022-08-01,2673
