time,estimated_returnee
2022-03-24,2098
2022-03-25,2270
2022-03-26,2270
2022-03-27,2270
2022-03-28,2342
2022-03-29,2331
2022-03-30,2550
2022-03-31,2729
2022-04-01,2619
2022-04-02,2619
2022-04-03,2619
2022-04-04,2528
2022-04-05,2743
2022-04-06,2432
2022-04-07,2717
2022-04-08,2718
2022-04-09,2718
2022-04-10,2718
2022-04-11,2926
2022-04-12,3022
2022-04-13,2875
2022-04-14,3120
2022-04-15,3093
2022-04-16,3093
2022-04-17,3093
2022-04-18,2819
2022-04-19,3480
2022-04-20,3325
2022-04-21,2476
2022-04-22,2475
2022-04-23,2475
2022-04-24,2475
2022-04-25,2475
2022-04-26,2485
2022-04-27,3104
2022-04-28,3415
2022-04-29,3523
2022-04-30,3523
2022-05-01,3522
2022-05-02,3369
2022-05-03,3588
2022-05-04,3632
2022-05-05,3577
2022-05-06,3634
2022-05-07,3640
2022-05-08,3753
2022-05-09,3764
2022-05-10,3811
2022-05-11,3729
2022-05-12,3882
2022-05-13,3839
2022-05-14,3853
2022-05-15,3948
2022-05-16,3967
2022-05-17,4061
2022-05-18,4091
2022-05-19,4103
2022-05-20,4044
2022-05-21,3278
2022-05-22,4080
2022-05-23,3881
2022-05-24,4001
2022-05-25,4046
2022-05-26,4055
2022-05-27,4115
2022-05-28,4098
2022-05-29,4187
2022-05-30,4249
2022-05-31,4301
2022-06-01,4247
2022-06-02,4278
2022-06-03,4327
2022-06-04,4355
2022-06-05,4412
2022-06-06,4426
2022-06-07,4497
2022-06-08,4427
2022-06-09,4515
2022-06-10,4499
2022-06-11,4559
2022-06-12,4598
2022-06-13,4653
2022-06-14,4728
2022-06-15,4796
2022-06-16,4820
2022-06-17,4767
2022-06-18,4856
2022-06-19,4856
2022-06-20,4901
2022-06-21,4967
2022-06-22,5048
2022-06-23,5068
2022-06-24,5109
2022-06-25,5168
2022-06-26,5232
2022-06-27,5275
2022-06-28,5312
2022-06-29,5345
2022-06-30,5382
2022-07-01,5399
2022-07-02,5437
2022-07-03,5516
2022-07-04,5547
2022-07-05,5586
2022-07-06,5620
2022-07-07,5640
2022-07-08,5714
2022-07-09,5698
2022-07-10,5780
2022-07-11,5834
2022-07-12,5863
2022-07-13,5903
2022-07-14,5880
2022-07-15,5937
2022-07-16,5982
2022-07-17,6001
2022-07-18,5827
2022-07-19,6021
2022-07-20,6078
2022-07-21,6137
2022-07-22,6210
2022-07-23,6234
2022-07-24,6298
2022-07-25,6395
2022-07-26,6457
2022-07-27,6519
2022-07-28,6583
2022-07-29,6635
2022-07-30,6685
2022-07-31,6720
2022-08-01,6799
